seq,folio,filename,canvas uri
1,001r,CF-014,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-001r.json
2,001v,CF-522,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-001v.json
3,002r,CF-005,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-002r.json
4,002v,CF-528,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-002v.json
5,003r,CF-010,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-003r.json
6,003v,CF-527,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-003v.json
7,004r,CF-009,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-004r.json
8,004v,CF-526,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-004v.json
9,005r,CF-011,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-005r.json
10,005v,CF-525,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-005v.json
11,006r,CF-012,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-006r.json
12,006v,CF-524,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-006v.json
13,007r,CF-013,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-007r.json
14,007v,CF-523,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-007v.json
15,008r,CF-015,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-008r.json
16,008v,CF-517,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-008v.json
17,009r,CF-016,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-009r.json
18,009v,CF-516,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-009v.json
19,010r,CF-017,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-010r.json
20,010v,CF-515,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-010v.json
21,011r,CF-018,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-011r.json
22,011v,CF-514,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-011v.json
23,012r,CF-019,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-012r.json
24,012v,CF-513,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-012v.json
25,013r,CF-020,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-013r.json
26,013v,CF-512,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-013v.json
27,014r,CF-024,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-014r.json
28,014v,CF-511,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-014v.json
29,015r,CF-025,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-015r.json
30,015v,CF-510,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-015v.json
31,016r,CF-026,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-016r.json
32,016v,CF-509,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-016v.json
33,017r,CF-027,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-017r.json
34,017v,CF-508,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-017v.json
35,018r,CF-028,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-018r.json
36,018v,CF-507,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-018v.json
37,019r,CF-029,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-019r.json
38,019v,CF-506,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-019v.json
39,020r,CF-030,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-020r.json
40,020v,CF-505,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-020v.json
41,021r,CF-031,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-021r.json
42,021v,CF-504,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-021v.json
43,022r,CF-032,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-022r.json
44,022v,CF-503,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-022v.json
45,023r,CF-033,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-023r.json
46,023v,CF-502,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-023v.json
47,024r,CF-034,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-024r.json
48,024v,CF-501,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-024v.json
49,025r,CF-035,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-025r.json
50,025v,CF-500,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-025v.json
51,026r,CF-036,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-026r.json
52,026v,CF-499,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-026v.json
53,027r,CF-037,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-027r.json
54,027v,CF-498,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-027v.json
55,028r,CF-038,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-028r.json
56,028v,CF-497,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-028v.json
57,029r,CF-039,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-029r.json
58,029v,CF-496,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-029v.json
59,030r,CF-040,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-030r.json
60,030v,CF-495,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-030v.json
61,031r,CF-041,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-031r.json
62,031v,CF-494,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-031v.json
63,032r,CF-042,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-032r.json
64,032v,CF-492,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-032v.json
65,033r,CF-044,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-033r.json
66,033v,CF-491,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-033v.json
67,034r,CF-045,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-034r.json
68,034v,CF-490,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-034v.json
69,035r,CF-046,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-035r.json
70,035v,CF-489,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-035v.json
71,036r,CF-047,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-036r.json
72,036v,CF-488,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-036v.json
73,037r,CF-048,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-037r.json
74,037v,CF-487,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-037v.json
75,038r,CF-049,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-038r.json
76,038v,CF-486,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-038v.json
77,039r,CF-050,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-039r.json
78,039v,CF-485,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-039v.json
79,040r,CF-051,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-040r.json
80,040v,CF-484,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-040v.json
81,041r,CF-052,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-041r.json
82,041v,CF-483,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-041v.json
83,042r,CF-053,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-042r.json
84,042v,CF-482,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-042v.json
85,043r,CF-054,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-043r.json
86,043v,CF-481,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-043v.json
87,044r,CF-055,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-044r.json
88,044v,CF-480,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-044v.json
89,045r,CF-056,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-045r.json
90,045v,CF-479,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-045v.json
91,046r,CF-058,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-046r.json
92,046v,CF-477,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-046v.json
93,047r,CF-059,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-047r.json
94,047v,CF-476,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-047v.json
95,048r,CF-060,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-048r.json
96,048v,CF-475,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-048v.json
97,049r,CF-061,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-049r.json
98,049v,CF-474,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-049v.json
99,050r,CF-062,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-050r.json
100,050v,CF-473,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-050v.json
101,051r,CF-064,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-051r.json
102,051v,CF-471,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-051v.json
103,052r,CF-065,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-052r.json
104,052v,CF-470,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-052v.json
105,053r,CF-066,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-053r.json
106,053v,CF-469,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-053v.json
107,054r,CF-067,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-054r.json
108,054v,CF-468,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-054v.json
109,055r,CF-068,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-055r.json
110,055v,CF-467,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-055v.json
111,056r,CF-069,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-056r.json
112,056v,CF-466,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-056v.json
113,057r,CF-070,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-057r.json
114,057v,CF-465,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-057v.json
115,058r,CF-071,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-058r.json
116,058v,CF-464,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-058v.json
117,059r,CF-072,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-059r.json
118,059v,CF-463,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-059v.json
119,060r,CF-073,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-060r.json
120,060v,CF-462,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-060v.json
121,061r,CF-074,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-061r.json
122,061v,CF-461,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-061v.json
123,062r,CF-075,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-062r.json
124,062v,CF-460,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-062v.json
125,063r,CF-076,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-063r.json
126,063v,CF-459,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-063v.json
127,064r,CF-077,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-064r.json
128,064v,CF-458,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-064v.json
129,065r,CF-078,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-065r.json
130,065v,CF-457,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-065v.json
131,066r,CF-079,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-066r.json
132,066v,CF-456,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-066v.json
133,067r,CF-080,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-067r.json
134,067v,CF-455,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-067v.json
135,068r,CF-081,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-068r.json
136,068v,CF-454,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-068v.json
137,069r,CF-082,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-069r.json
138,069v,CF-453,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-069v.json
139,070r,CF-083,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-070r.json
140,070v,CF-452,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-070v.json
141,071r,CF-084,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-071r.json
142,071v,CF-451,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-071v.json
143,072r,CF-085,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-072r.json
144,072v,CF-450,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-072v.json
145,073r,CF-086,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-073r.json
146,073v,CF-449,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-073v.json
147,074r,CF-087,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-074r.json
148,074v,CF-448,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-074v.json
149,075r,CF-088,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-075r.json
150,075v,CF-447,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-075v.json
151,076r,CF-089,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-076r.json
152,076v,CF-446,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-076v.json
153,077r,CF-090,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-077r.json
154,077v,CF-445,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-077v.json
155,078r,CF-092,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-078r.json
156,078v,CF-444,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-078v.json
157,079r,CF-093,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-079r.json
158,079v,CF-443,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-079v.json
159,080r,CF-094,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-080r.json
160,080v,CF-442,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-080v.json
161,081r,CF-095,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-081r.json
162,081v,CF-441,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-081v.json
163,082r,CF-096,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-082r.json
164,082v,CF-440,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-082v.json
165,083r,CF-097,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-083r.json
166,083v,CF-439,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-083v.json
167,084r,CF-098,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-084r.json
168,084v,CF-438,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-084v.json
169,085r,CF-099,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-085r.json
170,085v,CF-437,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-085v.json
171,086r,CF-100,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-086r.json
172,086v,CF-436,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-086v.json
173,087r,CF-101,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-087r.json
174,087v,CF-435,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-087v.json
175,088r,CF-102,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-088r.json
176,088v,CF-434,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-088v.json
177,089r,CF-103,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-089r.json
178,089v,CF-433,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-089v.json
179,090r,CF-104,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-090r.json
180,090v,CF-432,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-090v.json
181,091r,CF-105,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-091r.json
182,091v,CF-431,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-091v.json
183,092r,CF-106,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-092r.json
184,092v,CF-430,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-092v.json
185,093r,CF-107,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-093r.json
186,093v,CF-429,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-093v.json
