file_name,type
salz_001r_0, clef.c
salz_001r_1, inclinatum
salz_001r_2, inclinatum
salz_001r_3, punctum
salz_001r_4, clivis
salz_001r_5, punctum
salz_001r_6, punctum
salz_001r_7, punctum
salz_001r_8, punctum
salz_001r_9, inclinatum
salz_001r_10, punctum
salz_001r_11, podatus
salz_001r_12, punctum
salz_001r_13, custos
salz_001r_14, torculus
salz_001r_15, custos
salz_001r_16, clef.c
salz_001r_17, inclinatum
salz_001r_18, punctum
salz_001r_19, clivis
salz_001r_20, scandicus
salz_001r_21, inclinatum
salz_001r_22, clivis
salz_001r_23, clivis
salz_001r_24, punctum
salz_001r_25, punctum
salz_001r_26, custos
salz_001r_27, punctum
salz_001r_28, punctum
salz_001r_29, clivis
salz_001r_30, custos
salz_001r_31, inclinatum
salz_001r_32, inclinatum
salz_001r_33, podatus
salz_001r_34, clivis
salz_001r_35, clivis
salz_001r_36, custos
salz_001r_37, punctum
salz_001r_38, punctum
salz_001r_39, punctum
salz_001r_40, custos
salz_001r_41, punctum
salz_001r_42, punctum
salz_001r_43, clivis
salz_001r_44, punctum
salz_001r_45, punctum
salz_001r_46, punctum
salz_001r_47, punctum
salz_001r_48, inclinatum
salz_001r_49, punctum
salz_001r_50, punctum
salz_001r_51, punctum
salz_001r_52, podatus
salz_001r_53, punctum
salz_001r_54, punctum
salz_001r_55, inclinatum
salz_001r_56, inclinatum
salz_001r_57, punctum
salz_001r_58, clivis
salz_001r_59, clivis
salz_001r_60, punctum
salz_001r_61, custos
salz_001r_62, punctum
salz_001r_63, custos
salz_001r_64, clivis
salz_001r_65, punctum
salz_001r_66, clivis
salz_001r_67, punctum
salz_001r_68, custos
salz_001r_69, custos
salz_001r_70, punctum
salz_001r_71, punctum
salz_001r_72, inclinatum
salz_001r_73, clivis
salz_001r_74, punctum
salz_001r_75, punctum
salz_001r_76, inclinatum
salz_001r_77, clivis
salz_001r_78, punctum
salz_001r_79, custos
salz_001r_80, punctum
salz_001r_81, custos
salz_001r_82, clef.c
salz_001r_83, punctum
salz_001r_84, scandicus
salz_001r_85, inclinatum
salz_001r_86, clivis
salz_001r_87, punctum
salz_001r_88, punctum
salz_001r_89, punctum
salz_001r_90, punctum
salz_001r_91, inclinatum
salz_001r_92, inclinatum
salz_001r_93, punctum
salz_001r_94, custos
salz_001r_95, torculus
salz_001r_96, punctum
salz_001r_97, inclinatum
salz_001r_98, punctum
salz_001r_99, punctum
salz_001r_100, punctum
salz_001r_101, inclinatum
salz_001r_102, inclinatum
salz_001r_103, scandicus
salz_001r_104, punctum
salz_001r_105, custos
salz_001r_106, clef.c
salz_001r_107, scandicus
salz_001r_108, clivis
salz_001r_109, punctum
salz_001r_110, punctum
salz_001r_111, custos
salz_001r_112, punctum
salz_001r_113, custos
salz_001r_114, punctum
salz_001r_115, punctum
salz_001r_116, clivis
salz_001r_117, clivis
salz_001r_118, inclinatum
salz_001r_119, punctum
salz_001r_120, punctum
salz_001r_121, punctum
salz_001r_122, punctum
salz_001r_123, inclinatum
salz_001r_124, clivis
salz_001r_125, custos
salz_001r_126, punctum
salz_001r_127, punctum
salz_001r_128, custos
salz_001r_129, punctum
salz_001r_130, punctum
salz_001r_131, custos
salz_001r_132, clivis
salz_001r_133, punctum
salz_001r_134, punctum
salz_001r_135, clivis
salz_001r_136, punctum
salz_001r_137, punctum
salz_001r_138, punctum
salz_001r_139, punctum
salz_001r_140, punctum
salz_001r_141, clivis
salz_001r_142, clivis
salz_001r_143, punctum
salz_001r_144, punctum
salz_001r_145, punctum
salz_001r_146, virga
salz_001r_147, inclinatum
salz_001r_148, inclinatum
salz_001r_149, punctum
salz_001r_150, punctum
salz_001r_151, inclinatum
salz_001r_152, punctum
salz_001r_153, custos
salz_001r_154, inclinatum
salz_001r_155, inclinatum
salz_001r_156, punctum
salz_001r_157, punctum
salz_001r_158, inclinatum
salz_001r_159, inclinatum
salz_001r_160, custos
salz_001r_161, punctum
salz_001r_162, scandicus
salz_001r_163, punctum
salz_001r_164, clivis
salz_001r_165, inclinatum
salz_001r_166, punctum
salz_001r_167, punctum
salz_001r_168, clivis
salz_001r_169, clivis
salz_001r_170, punctum
salz_001r_171, punctum
salz_001r_172, punctum
salz_001r_173, punctum
salz_001r_174, punctum
salz_001r_175, punctum
salz_001r_176, clivis
salz_001r_177, punctum
salz_001r_178, custos
salz_001r_179, clef.c
salz_001r_180, virga
salz_001r_181, punctum
salz_001r_182, punctum
salz_001r_183, punctum
salz_001r_184, clivis
salz_001r_185, punctum
salz_001r_186, punctum
salz_001r_187, clivis
salz_001r_188, inclinatum
salz_001r_189, punctum
salz_001r_190, punctum
salz_001r_191, inclinatum
salz_001r_192, punctum
salz_001r_193, clivis
salz_001r_194, clivis
salz_001r_195, custos
salz_001v_0, clef.c
salz_001v_1, punctum
salz_001v_2, punctum
salz_001v_3, punctum
salz_001v_4, virga
salz_001v_5, inclinatum
salz_001v_6, inclinatum
salz_001v_7, inclinatum
salz_001v_8, punctum
salz_001v_9, punctum
salz_001v_10, punctum
salz_001v_11, inclinatum
salz_001v_12, punctum
salz_001v_13, punctum
salz_001v_14, inclinatum
salz_001v_15, inclinatum
salz_001v_16, punctum
salz_001v_17, scandicus
salz_001v_18, clivis
salz_001v_19, custos
salz_001v_20, custos
salz_001v_21, inclinatum
salz_001v_22, inclinatum
salz_001v_23, clivis
salz_001v_24, punctum
salz_001v_25, inclinatum
salz_001v_26, custos
salz_001v_27, podatus
salz_001v_28, punctum
salz_001v_29, punctum
salz_001v_30, clivis
salz_001v_31, clivis
salz_001v_32, punctum
salz_001v_33, punctum
salz_001v_34, punctum
salz_001v_35, punctum
salz_001v_36, clivis
salz_001v_37, punctum
salz_001v_38, inclinatum
salz_001v_39, punctum
salz_001v_40, punctum
salz_001v_41, custos
salz_001v_42, punctum
salz_001v_43, custos
salz_001v_44, clivis
salz_001v_45, punctum
salz_001v_46, custos
salz_001v_47, custos
salz_001v_48, inclinatum
salz_001v_49, inclinatum
salz_001v_50, punctum
salz_001v_51, punctum
salz_001v_52, punctum
salz_001v_53, punctum
salz_001v_54, punctum
salz_001v_55, torculus
salz_001v_56, clivis
salz_001v_57, clivis
salz_001v_58, clivis
salz_001v_59, torculus
salz_001v_60, custos
salz_001v_61, punctum
